,Chokey or Spinal,Crip or Star,Sink Below,CnC,Pummel,Estrike,A Blue,Two Blues,Three Blues,Four Blues,Hand Counts,Combinations,Percentage,Hands
75,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,65,0.000639898,"Handset object with 8 distinct hands, and 65 hand combinations."
83,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,144,0.00055991,"Handset object with 7 distinct hands, and 144 hand combinations."
89,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,105,0.00055991,"Handset object with 7 distinct hands, and 105 hand combinations."
88,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,105,0.00055991,"Handset object with 7 distinct hands, and 105 hand combinations."
87,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,55,0.00055991,"Handset object with 7 distinct hands, and 55 hand combinations."
86,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,7,84,0.00055991,"Handset object with 7 distinct hands, and 84 hand combinations."
84,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,180,0.00055991,"Handset object with 7 distinct hands, and 180 hand combinations."
85,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7,144,0.00055991,"Handset object with 7 distinct hands, and 144 hand combinations."
82,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,243,0.00055991,"Handset object with 7 distinct hands, and 243 hand combinations."
81,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,144,0.00055991,"Handset object with 7 distinct hands, and 144 hand combinations."
80,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,105,0.00055991,"Handset object with 7 distinct hands, and 105 hand combinations."
